사건번호,법원,물건번호,물건주소,용도,비고,감정평가액,감정가_원,입찰기일,유찰횟수_입찰란,링크,진행상태,최저입찰가_표시,최저입찰가_원,최저입찰가율,유찰횟수,유찰횟수_원문
2025타경56160,수원지방법원,1,경기도 용인시 처인구 이동읍 천리 1142 에이스카운티아파트 107동 11층1104호[집합건물 철근콘크리트구조 64.535㎡],지도,"신청채권자 겸 대항력 있는 임차인의 보증금 260,000,000원이 배당에서 전액 변제되지 않을 경우 잔액을 매수인이 인수하므로 입찰시 주의요망","280,000,000",280000000,2026.04.27,0,moveDtlPage(3),아파트,"280,000,000(100%)",280000000,100.0,0,신건
2025타경56257,수원지방법원,1,"경기도 용인시 처인구 포곡읍 삼계리 672 계수마을수목원우림필유 104동 2층201호[집합건물 철근콘크리트구조
59.9922㎡]",지도,,"207,000,000",207000000,2026.04.28,0,moveDtlPage(4),아파트,"144,900,000(70%)",144900000,70.0,1,유찰 1회
2025타경56334,수원지방법원,1,경기도 수원시 영통구 이의동 1200 광교2차이편한세상 8502동 9층903호[집합건물 철근콘크리트구조 84.6861㎡],지도,,"981,000,000",981000000,2026.04.22,0,moveDtlPage(5),아파트,"686,700,000(70%)",686700000,70.0,1,유찰 1회
2025타경56395,수원지방법원,1,경기도 화성시 영천동 890 동탄파크한양수자인 137동 7층704호[집합건물 철근콘크리트구조 51.79㎡],지도,,"416,000,000",416000000,2026.04.28,0,moveDtlPage(6),아파트,"416,000,000(100%)",416000000,100.0,0,신건
2025타경56424,수원지방법원,1,경기도 수원시 영통구 망포동 810 영통롯데캐슬엘클래스2단지 208동 10층1002호[집합건물 철근콘크리트구조 84.9836㎡],지도,,"849,000,000",849000000,2026.04.22,0,moveDtlPage(7),아파트,"594,300,000(70%)",594300000,70.0,1,유찰 1회
2025타경56456,수원지방법원,1,경기도 화성시 남양읍 신남리 1563 대광파인밸리골드 203동 1층107호[집합건물 철근콘크리트구조 84.305㎡],지도,"대항력 있는 임차인의 보증금 160,000,000원이 배당에서 전액 변제되지 않을 경우 잔액을 매수인이 인수하므로 입찰시 주의요망","241,000,000",241000000,2026.04.27,0,moveDtlPage(8),아파트,"241,000,000(100%)",241000000,100.0,0,신건
2025타경56486,수원지방법원,1,"경기도 수원시 영통구 원천동 548 원천레이크파크아파트 221동 15층1504호[집합건물 철근콘크리트조
84.79㎡]",지도,,"652,000,000",652000000,2026.04.28,0,moveDtlPage(9),아파트,"456,400,000(70%)",456400000,70.0,1,유찰 1회
2025타경56546,수원지방법원,1,경기도 오산시 갈곶동 715 갈곶피오레 101동 9층901호[집합건물 철근콘크리트구조  84.9888㎡],지도,,"326,000,000",326000000,2026.04.22,0,moveDtlPage(0),아파트,"228,200,000(70%)",228200000,70.0,1,유찰 1회
2025타경56589,수원지방법원,1,경기도 용인시 기흥구 중동 1096 신동백롯데캐슬에코1단지 113동 37층3701호[집합건물 철근콘크리트구조 199.30㎡],지도,,"1,446,000,000",1446000000,2026.04.27,0,moveDtlPage(1),아파트,"1,012,200,000(70%)",1012200000,70.0,1,유찰 1회
2025타경56780,수원지방법원,1,경기도 용인시 처인구 고림동 1014 양우내안애에듀퍼스트 210동 9층902호[집합건물 철근콘크리트구조  84.9754㎡],지도,,"546,000,000",546000000,2026.04.28,0,moveDtlPage(2),아파트,"382,200,000(70%)",382200000,70.0,1,유찰 1회
2025타경56846,수원지방법원,1,경기도 수원시 권선구 호매실동 1361 한양수자인파크원 112동 7층701호[집합건물 철근콘크리트구조 97.6214㎡],지도,,"678,000,000",678000000,2026.04.28,0,moveDtlPage(3),아파트,"678,000,000(100%)",678000000,100.0,0,신건
2025타경56859,수원지방법원,1,"경기도 수원시 영통구 망포동 488 늘푸른벽산아파트 111동 20층2001호[집합건물 철근콘크리트조
114.954㎡]",지도,본건 소재지번 중 망포동 497 토지는 토지대장 및 대지권 등록부에 497-1 토지로 일부 분할(43㎡)되어 있음,"537,000,000",537000000,2026.04.28,0,moveDtlPage(4),아파트,"537,000,000(100%)",537000000,100.0,0,신건
2025타경57035,수원지방법원,1,경기도 수원시 권선구 권선동 1303 상록아파트 341동 20층2004호[집합건물 철근콘크리트벽식조 59.592㎡],지도,,"419,000,000",419000000,2026.04.28,0,moveDtlPage(5),아파트,"419,000,000(100%)",419000000,100.0,0,신건
2025타경57149,수원지방법원,1,"경기도 화성시 반송동 102 시범다은마을포스코더샵 318동 9층902호[집합건물 철근콘크리트구조
98.6767㎡]",지도,,"768,000,000",768000000,2026.04.28,0,moveDtlPage(6),아파트,"768,000,000(100%)",768000000,100.0,0,신건
2025타경57956,수원지방법원,1,경기도 화성시 향남읍 행정리 440 향남시범넓은들마을향남지웰2차 208동 1층102호[집합건물 철근콘크리트구조 84.843㎡],지도,,"357,000,000",357000000,2026.04.27,0,moveDtlPage(7),아파트,"249,900,000(70%)",249900000,70.0,1,유찰 1회
2025타경58074,수원지방법원,1,경기도 수원시 권선구 입북동 815 서수원레이크푸르지오2단지 205동 22층2202호[집합건물 철근콘크리트구조84.948㎡],지도,,"531,000,000",531000000,2026.04.27,0,moveDtlPage(8),아파트,"531,000,000(100%)",531000000,100.0,0,신건
2025타경58129,수원지방법원,1,경기도 오산시 지곶동 577 이편한세상오산세교 105동 12층1202호[집합건물 철근콘크리트구조 84.9828㎡],지도,,"375,000,000",375000000,2026.04.27,0,moveDtlPage(9),아파트,"262,500,000(70%)",262500000,70.0,1,유찰 1회
2025타경58202,수원지방법원,1,경기도 수원시 장안구 정자동 945 수원에스케이스카이뷰 111동 5층501호[집합건물 철근콘크리트구조 59.952㎡],지도,,"662,000,000",662000000,2026.04.27,0,moveDtlPage(0),아파트,"662,000,000(100%)",662000000,100.0,0,신건
2025타경58494,수원지방법원,1,"경기도 화성시 송산동 200-32 우남블루존아파트 102동 3층305호[집합건물 철근콘크리트벽식구조
59.91㎡]",지도,,"183,000,000",183000000,2026.04.27,0,moveDtlPage(1),아파트,"128,100,000(70%)",128100000,70.0,1,유찰 1회
2025타경56780,수원지방법원,1,경기도 용인시 처인구 고림동 1014 양우내안애에듀퍼스트 210동 9층902호[집합건물 철근콘크리트구조  84.9754㎡],지도,,"546,000,000",546000000,2026.04.28,0,moveDtlPage(2),아파트,"382,200,000(70%)",382200000,70.0,1,유찰 1회
2025타경56846,수원지방법원,1,경기도 수원시 권선구 호매실동 1361 한양수자인파크원 112동 7층701호[집합건물 철근콘크리트구조 97.6214㎡],지도,,"678,000,000",678000000,2026.04.28,0,moveDtlPage(3),아파트,"678,000,000(100%)",678000000,100.0,0,신건
2025타경56859,수원지방법원,1,"경기도 수원시 영통구 망포동 488 늘푸른벽산아파트 111동 20층2001호[집합건물 철근콘크리트조
114.954㎡]",지도,본건 소재지번 중 망포동 497 토지는 토지대장 및 대지권 등록부에 497-1 토지로 일부 분할(43㎡)되어 있음,"537,000,000",537000000,2026.04.28,0,moveDtlPage(4),아파트,"537,000,000(100%)",537000000,100.0,0,신건
2025타경57035,수원지방법원,1,경기도 수원시 권선구 권선동 1303 상록아파트 341동 20층2004호[집합건물 철근콘크리트벽식조 59.592㎡],지도,,"419,000,000",419000000,2026.04.28,0,moveDtlPage(5),아파트,"419,000,000(100%)",419000000,100.0,0,신건
2025타경57149,수원지방법원,1,"경기도 화성시 반송동 102 시범다은마을포스코더샵 318동 9층902호[집합건물 철근콘크리트구조
98.6767㎡]",지도,,"768,000,000",768000000,2026.04.28,0,moveDtlPage(6),아파트,"768,000,000(100%)",768000000,100.0,0,신건
2025타경57956,수원지방법원,1,경기도 화성시 향남읍 행정리 440 향남시범넓은들마을향남지웰2차 208동 1층102호[집합건물 철근콘크리트구조 84.843㎡],지도,,"357,000,000",357000000,2026.04.27,0,moveDtlPage(7),아파트,"249,900,000(70%)",249900000,70.0,1,유찰 1회
2025타경58074,수원지방법원,1,경기도 수원시 권선구 입북동 815 서수원레이크푸르지오2단지 205동 22층2202호[집합건물 철근콘크리트구조84.948㎡],지도,,"531,000,000",531000000,2026.04.27,0,moveDtlPage(8),아파트,"531,000,000(100%)",531000000,100.0,0,신건
2025타경58129,수원지방법원,1,경기도 오산시 지곶동 577 이편한세상오산세교 105동 12층1202호[집합건물 철근콘크리트구조 84.9828㎡],지도,,"375,000,000",375000000,2026.04.27,0,moveDtlPage(9),아파트,"262,500,000(70%)",262500000,70.0,1,유찰 1회
