사건번호,법원,물건번호,물건주소,용도,비고,감정평가액,감정가_원,입찰기일,유찰횟수_입찰란,링크,진행상태,최저입찰가_표시,최저입찰가_원,최저입찰가율,유찰횟수,유찰횟수_원문
2024타경62334,수원지방법원,13,경기도 오산시 역광장로 46-1 5층516호[집합건물 철근콘크리트조 28.6㎡],지도,"2019.03.14.자 접수 제54014호 든솔신용협동조합 명의의 근저당권에 대하여, 2025.05.09.자로 피담보채권이 없다는 계산서가 제출됨","100,000,000",100000000,2026.04.21,0,moveDtlPage(7),아파트,"34,300,000(34%)",34300000,34.0,3,유찰 3회
2024타경62334,수원지방법원,15,경기도 오산시 역광장로 46-1 6층615호[집합건물 철근콘크리트조 28.6㎡],지도,"2019.03.14.자 접수 제54014호 든솔신용협동조합 명의의 근저당권에 대하여, 2025.05.09.자로 피담보채권이 없다는 계산서가 제출됨","100,000,000",100000000,2026.04.21,0,moveDtlPage(8),아파트,"34,300,000(34%)",34300000,34.0,3,유찰 3회
2024타경62334,수원지방법원,18,경기도 오산시 역광장로 46-1 8층808호[집합건물 철근콘크리트조 23.14㎡],지도,"2019.03.14.자 접수 제54014호 든솔신용협동조합 명의의 근저당권에 대하여, 2025.05.09.자로 피담보채권이 없다는 계산서가 제출됨","81,000,000",81000000,2026.04.21,0,moveDtlPage(9),아파트,"27,783,000(34%)",27783000,34.0,3,유찰 3회
2024타경62334,수원지방법원,19,경기도 오산시 역광장로 46-1 8층810호[집합건물 철근콘크리트조 23.14㎡],지도,"2019.03.14.자 접수 제54014호 든솔신용협동조합 명의의 근저당권에 대하여, 2025.05.09.자로 피담보채권이 없다는 계산서가 제출됨","81,000,000",81000000,2026.04.21,0,moveDtlPage(0),아파트,"27,783,000(34%)",27783000,34.0,3,유찰 3회
2024타경62341,수원지방법원,1,"경기도 오산시 가수로 33 111동 1층106호 (가수동,늘푸른오스카빌)[집합건물 철근콘크리트조 84.9849㎡]",지도,,"263,000,000",263000000,2026.04.21,0,moveDtlPage(1),아파트,"263,000,000(100%)",263000000,100.0,0,신건
2024타경78797,수원지방법원,1,"경기도 수원시 팔달구 권광로276번길 33-25 5층512호 (인계동,아미힐)[집합건물 철근콘크리트구조 21.5805㎡]",지도,임대차관계 불분명(전입인 배종훈),"161,000,000",161000000,2026.04.24,0,moveDtlPage(2),아파트,"13,258,000(8%)",13258000,8.0,7,유찰 7회
2024타경83867,수원지방법원,1,"경기도 용인시 수지구 성복2로 158 611동 6층602호 (성복동,성동마을엘지빌리지6차)[집합건물 철근콘크리트조
134.725㎡]",지도,,"862,000,000",862000000,2026.04.21,0,moveDtlPage(3),아파트,"603,400,000(70%)",603400000,70.0,1,유찰 1회
2024타경84846,수원지방법원,1,경기도 화성시 봉담읍 와우로73번길 22 103동 16층 1602호 (해오름마을봉담그대가1단지)[집합건물 철근콘크리트구조 84.9539㎡],지도,,"321,000,000",321000000,2026.04.21,0,moveDtlPage(4),아파트,"224,700,000(70%)",224700000,70.0,1,유찰 1회
2024타경87692,수원지방법원,1,경기도 화성시 봉담읍 상리1길 127 102동 22층2203호 (이편한세상신봉담)[집합건물 철근콘크리트구조 59.96㎡],지도,,"446,000,000",446000000,2026.04.21,0,moveDtlPage(5),아파트,"312,200,000(70%)",312200000,70.0,1,유찰 1회
2024타경87876,수원지방법원,1,"경기도 화성시 효행로 229-11 102동 7층701호 (기안동,광도와이드빌)[집합건물 철근콘크리트벽식구조
59.7118㎡]",지도,,"218,000,000",218000000,2026.04.21,0,moveDtlPage(6),아파트,"152,600,000(70%)",152600000,70.0,1,유찰 1회
